tipo producto,precio,cantidad,credit card,marca,fecha,categoria,subcategoria
blazers & jackets,6494.07,10,jcb,Tevolio,28/08/2014,clothing shoes & jewelry,women's clothing
outerwear,357.66,19,jcb,Corona,09/07/2014,clothing shoes & jewelry,women's clothing
outerwear,3976.55,13,jcb,Tevolio,23/10/2014,clothing shoes & jewelry,women's clothing
sweaters,2132.41,1,laser,Xhilaration,09/05/2015,clothing shoes & jewelry,women's clothing
pants,5698.78,12,maestro,VERO MODA,28/07/2014,clothing shoes & jewelry,women's clothing
pants,5898.16,17,jcb,Xhilaration,28/08/2014,clothing shoes & jewelry,women's clothing
activewear,4074.92,8,diners-club-enroute,Tevolio,24/10/2014,clothing shoes & jewelry,women's clothing
suits,7400.29,15,jcb,Batman,20/10/2014,clothing shoes & jewelry,women's clothing
suits,8802.6,16,jcb,Batman,28/02/2015,clothing shoes & jewelry,women's clothing
pants,7002.54,5,diners-club-carte-blanche,Jeffrey Max,28/07/2014,clothing shoes & jewelry,women's clothing
pants,1501.2,19,diners-club-carte-blanche,Lilly Pulitzer for Target,18/07/2014,clothing shoes & jewelry,women's clothing
blazers & jackets,5564.54,4,jcb,Star Wars,12/01/2015,clothing shoes & jewelry,women's clothing
jeans,4500.59,8,switch,JACHS Manufacturing Co,30/11/2014,clothing shoes & jewelry,women's clothing
shorts,6503.8,18,jcb,Batman,19/01/2015,clothing shoes & jewelry,women's clothing
pants,8904.7,18,jcb,Ambar,01/05/2015,clothing shoes & jewelry,women's clothing
jeans,3817.69,1,mastercard,Olde School,09/01/2015,clothing shoes & jewelry,women's clothing
jeans,7443.87,17,visa-electron,Merona,17/08/2014,clothing shoes & jewelry,women's clothing
swimsuits,5350.82,14,switch,Lilly Pulitzer for Target,02/07/2014,clothing shoes & jewelry,women's clothing
sleepwear,5659.59,10,jcb,Corona,12/01/2015,clothing shoes & jewelry,women's clothing
swimsuits,5852.81,11,diners-club-carte-blanche,DC Comics,19/01/2015,clothing shoes & jewelry,women's clothing
